Time [us],MIDI IN 2-Piano,MIDI IN 3-PC
12200342,1,0
12200373,1,0
12200442,1,1
12200501,1,1
12200505,1,0
12200628,1,0
12200634,1,1
12200725,1,1
12200729,1,0
12200756,1,0
12200762,1,1
12200822,1,1
12200853,1,1
12200857,1,0
12200884,1,0
12201082,1,1
12201109,1,1
12201113,1,0
12201140,1,0
12201146,1,1
12201210,1,0
12201430,1,0
12201499,1,1
12201562,1,0
12201690,1,0
12201691,1,1
12201786,1,0
12201787,1,0
12201817,1,0
12201819,1,1
12201883,1,1
12201915,1,0
12201947,1,1
12201979,1,0
12202043,1,1
12202104,1,1
12202139,1,1
12202170,1,1
12202171,1,0
12202201,1,0
12202203,1,1
12202267,1,0
12202488,1,0
12202556,1,1
12202615,1,1
12202619,1,0
12202652,1,1
12202683,1,0
12202743,1,0
12202748,1,1
12202779,1,0
12202812,1,1
12202840,1,1
12202871,1,1
12202937,1,1
12202968,1,1
12202972,1,0
12202999,1,0
12203065,1,0
12203193,1,0
12203224,1,0
12203258,1,0
12203260,1,1
12203324,1,0
12203545,1,0
12203549,1,1
12203580,1,0
12203613,1,1
12203673,1,1
12203676,1,0
12203704,1,0
12203709,1,1
12203739,1,1
12203740,1,0
12203801,1,0
12203805,1,1
12203832,1,1
12203867,1,1
12203900,1,0
12203933,1,1
12203994,1,1
12204029,1,0
12204061,1,1
12204093,1,0
12204281,1,0
12204312,1,0
12204317,1,1
12204381,1,0
12204537,1,0
12204568,1,0
12204599,1,0
12204670,1,1
12204727,1,1
12204733,1,0
12204761,1,0
12204766,1,1
12204792,1,1
12204797,1,0
12204854,1,0
12204862,1,1
12204951,1,1
12204957,1,0
12204986,1,0
12204990,1,1
12205048,1,1
12205079,1,1
12205086,1,0
12205114,1,0
12205310,1,1
12205335,1,1
12205342,1,0
12205370,1,0
12205374,1,1
12205438,1,0
12205656,1,0
12205727,1,1
12205784,1,1
12205790,1,0
12205819,1,0
12205823,1,1
12205850,1,1
12205854,1,0
12205912,1,0
12205919,1,1
12206009,1,1
12206014,1,0
12206040,1,0
12206047,1,1
12206106,1,1
12206142,1,0
12206175,1,1
12206206,1,0
12206271,1,1
12206330,1,1
12206361,1,1
12206392,1,1
12206399,1,0
12206423,1,0
12206431,1,1
12206495,1,0
12206714,1,0
12206784,1,1
12206842,1,1
12206847,1,0
12206876,1,0
12206907,1,0
12206912,1,1
12206943,1,0
12206969,1,0
12206976,1,1
12207007,1,0
12207040,1,1
12207066,1,1
12207097,1,1
12207163,1,1
12207194,1,1
12207199,1,0
12207225,1,0
12207291,1,0
12207419,1,0
12207450,1,0
12207481,1,0
12207488,1,1
12207552,1,0
12207771,1,0
12207777,1,1
12207808,1,0
12207841,1,1
12207903,1,1
12207904,1,0
12207969,1,1
12208000,1,0
12208031,1,0
12208033,1,1
12208062,1,1
12208097,1,1
12208128,1,0
12208161,1,1
12208224,1,1
12208256,1,0
12208289,1,1
12208320,1,0
12208511,1,0
12208542,1,0
12208545,1,1
12208609,1,0
12208767,1,0
12208798,1,0
12208833,1,0
12208898,1,1
12208957,1,1
12208961,1,0
12209022,1,0
12209026,1,1
12209053,1,1
12209057,1,0
12209084,1,0
12209090,1,1
12209181,1,1
12209185,1,0
12209216,1,0
12209218,1,1
12209278,1,1
12209309,1,1
12209313,1,0
