Time [s],MIDI IN 2-Piano,MIDI IN 3-PC,MIDI OUT 2-Synth,MIDI OUT 3-No Load,Channel 4,Channel 5,Channel 6,Channel 7
9.924631000,1,1,0,1,1,1,1,1
9.924634000,1,0,0,1,1,1,1,1
9.924662000,1,0,1,1,1,1,1,1
9.924667000,1,1,1,1,1,1,1,1
9.924697000,1,1,0,1,1,1,1,1
9.924698000,1,0,0,1,1,1,1,1
9.924728000,1,0,1,1,1,1,1,1
9.924731000,1,1,1,1,1,1,1,1
9.924856000,1,1,0,1,1,1,1,1
9.924858000,1,0,0,1,1,1,1,1
9.924887000,1,0,1,1,1,1,1,1
9.924891000,1,1,1,1,1,1,1,1
9.924953000,1,1,0,1,1,1,1,1
9.924984000,1,1,1,1,1,1,1,1
9.924986000,1,0,1,1,1,1,1,1
9.925015000,1,0,0,1,1,1,1,1
9.925211000,1,1,0,1,1,1,1,1
9.925240000,1,1,1,1,1,1,1,1
9.925242000,1,0,1,1,1,1,1,1
9.925271000,1,0,0,1,1,1,1,1
9.925275000,1,1,0,1,1,1,1,1
9.925339000,1,0,0,1,1,1,1,1
9.925557000,1,0,1,1,1,1,1,1
9.925628000,1,1,1,1,1,1,1,1
9.925685000,1,1,0,1,1,1,1,1
9.925691000,1,0,0,1,1,1,1,1
9.925720000,1,0,1,1,1,1,1,1
9.925724000,1,1,1,1,1,1,1,1
9.925751000,1,1,0,1,1,1,1,1
9.925755000,1,0,0,1,1,1,1,1
9.925782000,1,0,1,1,1,1,1,1
9.925788000,1,1,1,1,1,1,1,1
9.925910000,1,1,0,1,1,1,1,1
9.925915000,1,0,0,1,1,1,1,1
9.925945000,1,0,1,1,1,1,1,1
9.925948000,1,1,1,1,1,1,1,1
9.926007000,1,1,0,1,1,1,1,1
9.926043000,1,0,0,1,1,1,1,1
9.926076000,1,1,0,1,1,1,1,1
9.926107000,1,0,0,1,1,1,1,1
9.926172000,1,1,0,1,1,1,1,1
9.926231000,1,1,1,1,1,1,1,1
9.926262000,1,1,0,1,1,1,1,1
9.926293000,1,1,1,1,1,1,1,1
9.926299000,1,0,1,1,1,1,1,1
9.926328000,1,0,0,1,1,1,1,1
9.926332000,1,1,0,1,1,1,1,1
9.926396000,1,0,0,1,1,1,1,1
9.926615000,1,0,1,1,1,1,1,1
9.926685000,1,1,1,1,1,1,1,1
9.926742000,1,1,0,1,1,1,1,1
9.926748000,1,0,0,1,1,1,1,1
9.926777000,1,0,1,1,1,1,1,1
9.926808000,1,0,0,1,1,1,1,1
9.926813000,1,1,0,1,1,1,1,1
9.926839000,1,1,1,1,1,1,1,1
9.926908000,1,0,1,1,1,1,1,1
9.926941000,1,1,1,1,1,1,1,1
9.926967000,1,1,0,1,1,1,1,1
9.926998000,1,1,1,1,1,1,1,1
9.927064000,1,1,0,1,1,1,1,1
9.927095000,1,1,1,1,1,1,1,1
9.927100000,1,0,1,1,1,1,1,1
9.927126000,1,0,0,1,1,1,1,1
9.927192000,1,0,1,1,1,1,1,1
9.927320000,1,0,0,1,1,1,1,1
9.927351000,1,0,1,1,1,1,1,1
9.927382000,1,0,0,1,1,1,1,1
9.927389000,1,1,0,1,1,1,1,1
9.927453000,1,0,0,1,1,1,1,1
9.927672000,1,0,1,1,1,1,1,1
9.927678000,1,1,1,1,1,1,1,1
9.927709000,1,0,1,1,1,1,1,1
9.927742000,1,1,1,1,1,1,1,1
9.927800000,1,1,0,1,1,1,1,1
9.927805000,1,0,0,1,1,1,1,1
9.927866000,1,0,1,1,1,1,1,1
9.927870000,1,1,1,1,1,1,1,1
9.927963000,1,1,0,1,1,1,1,1
9.927994000,1,1,1,1,1,1,1,1
9.928029000,1,0,1,1,1,1,1,1
9.928062000,1,1,1,1,1,1,1,1
9.928121000,1,1,0,1,1,1,1,1
9.928157000,1,0,0,1,1,1,1,1
9.928190000,1,1,0,1,1,1,1,1
9.928221000,1,0,0,1,1,1,1,1
9.928408000,1,0,1,1,1,1,1,1
9.928439000,1,0,0,1,1,1,1,1
9.928446000,1,1,0,1,1,1,1,1
9.928510000,1,0,0,1,1,1,1,1
9.928664000,1,0,1,1,1,1,1,1
9.928699000,1,0,0,1,1,1,1,1
9.928730000,1,0,1,1,1,1,1,1
9.928799000,1,1,1,1,1,1,1,1
9.928857000,1,1,0,1,1,1,1,1
9.928862000,1,0,0,1,1,1,1,1
9.928923000,1,0,1,1,1,1,1,1
9.928927000,1,1,1,1,1,1,1,1
9.929082000,1,1,0,1,1,1,1,1
9.929086000,1,0,0,1,1,1,1,1
9.929113000,1,0,1,1,1,1,1,1
9.929119000,1,1,1,1,1,1,1,1
9.929179000,1,1,0,1,1,1,1,1
9.929210000,1,1,1,1,1,1,1,1
9.929214000,1,0,1,1,1,1,1,1
9.929241000,1,0,0,1,1,1,1,1
9.929439000,1,1,0,1,1,1,1,1
9.929466000,1,1,1,1,1,1,1,1
9.929470000,1,0,1,1,1,1,1,1
9.929497000,1,0,0,1,1,1,1,1
9.929503000,1,1,0,1,1,1,1,1
9.929567000,1,0,0,1,1,1,1,1
9.929787000,1,0,1,1,1,1,1,1
9.929856000,1,1,1,1,1,1,1,1
9.929919000,1,0,0,1,1,1,1,1
9.929981000,1,0,1,1,1,1,1,1
9.929984000,1,1,1,1,1,1,1,1
